BOM,,,
References,Value,Stock Code,Comment
"D3,D4,D1",RED,C389517,MHT192CRCT
"D6,D2",1N5817,C727113,1N5817W
"C4,C3,C1,C2,C8,C7,C12,C6,C5,C13,C9",100nF,C14663,CC0603KRX7R9BB104
RV1,20K,C145161,VG039NCHXTB503
"R2,R3,R5,R4",620,C23220,0603WAF6200T5E
"R17,R18,R10,R16,R15,R12,R26,R21",100K,C25803,0603WAF1003T5E
"R10,R16,R15,R12,R26,R21",10K,C269701,RMC 0603 10K F N
"R9,R6,R30",4K7,C17673,0805W8F4701T5E
"R29,R1,R13,R19,R24,R20,R14,R11,R28",2K,C17604,0805W8F2001T5E
R8,40K,C325594,RMC 0603 40K2 F N
"C10,C11",10uF,C2836444,RVT10UF50V34RV0011
U5,LM2940-5.0,,
R31,390R,C23151,0603WAF3900T5E
U3,LM2940-3.0,,
"D7,D5",BLUE,C99290,LTST-C191TBKT
"Q4,Q2,Q1",S9013,C6749,S9013 J3
U4,LM741,C693066,COS2314SR